iter	Passed	Remaining
0	76	76224
1	91	45817
2	108	35983
3	124	30936
4	139	27778
5	154	25642
6	170	24144
7	188	23413
8	205	22678
9	221	21963
10	237	21360
11	253	20888
12	270	20537
13	285	20126
14	301	19771
15	320	19711
16	339	19621
17	357	19517
18	373	19299
19	389	19077
20	407	18981
21	422	18789
22	438	18635
23	454	18503
24	470	18353
25	487	18253
26	502	18093
27	517	17962
28	533	17853
29	549	17758
30	564	17647
31	580	17546
32	597	17509
33	616	17502
34	633	17467
35	651	17435
36	667	17360
37	682	17275
38	697	17193
39	714	17154
40	730	17095
41	757	17275
42	776	17275
43	826	17955
44	859	18244
45	876	18176
46	897	18203
47	913	18113
48	932	18095
49	949	18039
50	965	17974
51	982	17911
52	998	17849
53	1014	17780
54	1033	17760
55	1050	17703
56	1066	17651
57	1083	17602
58	1099	17530
59	1114	17466
60	1130	17397
61	1145	17325
62	1160	17263
63	1176	17207
64	1192	17151
65	1208	17106
66	1224	17048
67	1241	17011
68	1257	16973
69	1274	16927
70	1289	16876
71	1305	16826
72	1323	16808
73	1339	16760
74	1354	16709
75	1371	16669
76	1386	16616
77	1402	16574
78	1418	16532
79	1434	16493
80	1453	16488
81	1468	16445
82	1485	16408
83	1500	16367
84	1517	16331
85	1532	16290
86	1548	16246
87	1563	16199
88	1578	16156
89	1593	16112
90	1609	16078
91	1624	16037
92	1640	16004
93	1656	15969
94	1674	15948
95	1690	15915
96	1707	15891
97	1724	15873
98	1740	15839
99	1756	15808
100	1772	15778
101	1788	15742
102	1806	15736
103	1826	15733
104	1842	15707
105	1859	15681
106	1877	15673
107	1893	15637
108	1909	15607
109	1924	15574
110	1941	15545
111	1957	15520
112	1972	15486
113	1989	15460
114	2004	15424
115	2019	15390
116	2034	15355
117	2050	15323
118	2068	15310
119	2083	15279
120	2099	15248
121	2115	15221
122	2130	15190
123	2145	15155
124	2161	15130
125	2176	15097
126	2192	15069
127	2207	15040
128	2223	15013
129	2238	14982
130	2253	14950
131	2269	14921
132	2287	14914
133	2303	14885
134	2318	14857
135	2337	14850
136	2354	14830
137	2369	14798
138	2384	14771
139	2399	14742
140	2415	14716
141	2431	14690
142	2446	14660
143	2462	14638
144	2480	14628
145	2498	14612
146	2513	14586
147	2528	14558
148	2543	14529
149	2558	14500
150	2574	14474
151	2590	14454
152	2606	14427
153	2621	14401
154	2637	14376
155	2652	14351
156	2667	14324
157	2683	14301
158	2701	14288
159	2717	14265
160	2733	14245
161	2749	14220
162	2764	14197
163	2780	14172
164	2795	14146
165	2810	14121
166	2825	14095
167	2844	14085
168	2859	14060
169	2875	14036
170	2892	14022
171	2908	14002
172	2924	13979
173	2939	13954
174	2954	13927
175	2970	13905
176	2986	13887
177	3007	13888
178	3023	13869
179	3042	13861
180	3057	13836
181	3074	13817
182	3098	13834
183	3119	13833
184	3134	13810
185	3151	13791
186	3168	13776
187	3200	13825
188	3221	13823
189	3241	13819
190	3259	13806
191	3275	13783
192	3294	13773
193	3314	13769
194	3328	13742
195	3352	13751
196	3369	13734
197	3385	13714
198	3404	13703
199	3419	13679
200	3436	13658
201	3451	13636
202	3467	13615
203	3484	13597
204	3501	13578
205	3519	13564
206	3539	13558
207	3556	13542
208	3573	13523
209	3589	13503
210	3606	13485
211	3622	13465
212	3638	13443
213	3654	13422
214	3670	13401
215	3685	13378
216	3702	13359
217	3718	13340
218	3737	13328
219	3753	13307
220	3769	13285
221	3784	13263
222	3800	13241
223	3816	13219
224	3831	13198
225	3850	13188
226	3868	13172
227	3883	13150
228	3900	13130
229	3915	13110
230	3932	13092
231	3952	13084
232	3969	13065
233	3985	13046
234	4001	13027
235	4017	13005
236	4033	12984
237	4049	12964
238	4065	12945
239	4081	12924
240	4097	12904
241	4113	12885
242	4130	12866
243	4146	12845
244	4164	12833
245	4180	12813
246	4196	12793
247	4212	12774
248	4229	12755
249	4244	12733
250	4260	12712
251	4275	12691
252	4292	12674
253	4308	12654
254	4324	12635
255	4341	12618
256	4358	12602
257	4376	12585
258	4394	12572
259	4409	12551
260	4425	12531
261	4440	12509
262	4457	12490
263	4473	12471
264	4489	12451
265	4505	12433
266	4521	12412
267	4537	12393
268	4553	12373
269	4569	12354
270	4586	12338
271	4603	12320
272	4619	12302
273	4635	12281
274	4651	12263
275	4667	12243
276	4682	12222
277	4698	12202
278	4713	12181
279	4729	12160
280	4744	12139
281	4760	12121
282	4776	12102
283	4793	12085
284	4810	12068
285	4826	12048
286	4843	12033
287	4864	12025
288	4882	12012
289	4899	11994
290	4913	11971
291	4931	11957
292	4947	11937
293	4963	11919
294	4980	11902
295	4997	11885
296	5016	11873
297	5032	11853
298	5048	11835
299	5063	11815
300	5079	11796
301	5095	11777
302	5111	11758
303	5127	11739
304	5143	11719
305	5159	11700
306	5172	11676
307	5188	11657
308	5203	11637
309	5221	11621
310	5237	11602
311	5253	11584
312	5269	11565
313	5285	11547
314	5301	11528
315	5316	11508
316	5333	11490
317	5351	11477
318	5367	11459
319	5384	11441
320	5400	11423
321	5419	11410
322	5435	11393
323	5451	11374
324	5467	11355
325	5483	11336
326	5498	11317
327	5514	11298
328	5530	11279
329	5543	11254
330	5558	11234
331	5574	11216
332	5589	11194
333	5601	11169
334	5618	11153
335	5635	11137
336	5652	11120
337	5668	11102
338	5683	11082
339	5700	11066
340	5716	11048
341	5732	11029
342	5748	11011
343	5764	10991
344	5779	10973
345	5794	10953
346	5810	10934
347	5826	10915
348	5844	10902
349	5866	10894
350	5881	10874
351	5894	10851
352	5910	10833
353	5927	10816
354	5942	10797
355	5958	10779
356	5974	10760
357	5990	10742
358	6005	10723
359	6022	10706
360	6038	10688
361	6056	10674
362	6075	10662
363	6097	10653
364	6115	10639
365	6132	10622
366	6149	10606
367	6164	10587
368	6180	10568
369	6198	10553
370	6214	10535
371	6229	10516
372	6245	10498
373	6262	10481
374	6284	10474
375	6303	10460
376	6316	10437
377	6329	10414
378	6343	10394
379	6363	10382
380	6379	10364
381	6395	10347
382	6411	10329
383	6427	10311
384	6440	10288
385	6458	10272
386	6472	10252
387	6488	10234
388	6502	10213
389	6518	10195
390	6534	10177
391	6550	10160
392	6563	10138
393	6580	10120
394	6596	10102
395	6612	10086
396	6628	10068
397	6645	10051
398	6660	10032
399	6678	10017
400	6695	10002
401	6712	9984
402	6728	9967
403	6745	9950
404	6761	9933
405	6776	9914
406	6791	9894
407	6806	9876
408	6822	9858
409	6838	9841
410	6855	9824
411	6871	9806
412	6888	9791
413	6901	9769
414	6917	9751
415	6933	9733
416	6948	9714
417	6963	9695
418	6978	9676
419	6994	9658
420	7010	9641
421	7025	9622
422	7040	9604
423	7057	9587
424	7072	9568
425	7087	9550
426	7108	9538
427	7126	9524
428	7142	9507
429	7158	9488
430	7173	9470
431	7190	9453
432	7205	9435
433	7220	9417
434	7234	9396
435	7248	9376
436	7264	9359
437	7281	9342
438	7296	9324
439	7310	9303
440	7328	9289
441	7345	9272
442	7363	9258
443	7379	9240
444	7396	9224
445	7411	9206
446	7426	9187
447	7440	9168
448	7454	9148
449	7470	9130
450	7486	9113
451	7502	9096
452	7520	9081
453	7537	9064
454	7549	9043
455	7563	9023
456	7578	9004
457	7594	8987
458	7610	8970
459	7625	8952
460	7641	8934
461	7655	8914
462	7669	8894
463	7684	8876
464	7699	8858
465	7715	8841
466	7733	8826
467	7747	8807
468	7763	8789
469	7778	8771
470	7794	8753
471	7810	8737
472	7825	8718
473	7840	8700
474	7855	8682
475	7876	8670
476	7893	8654
477	7910	8638
478	7925	8620
479	7943	8605
480	7958	8587
481	7971	8566
482	7986	8548
483	8002	8532
484	8018	8514
485	8034	8497
486	8049	8479
487	8064	8460
488	8078	8442
489	8091	8421
490	8106	8403
491	8120	8384
492	8133	8364
493	8151	8349
494	8166	8331
495	8180	8312
496	8196	8295
497	8211	8277
498	8224	8257
499	8240	8240
500	8257	8224
501	8274	8208
502	8290	8191
503	8306	8174
504	8321	8156
505	8336	8138
506	8351	8121
507	8374	8110
508	8391	8094
509	8406	8077
510	8420	8058
511	8436	8041
512	8451	8023
513	8467	8006
514	8482	7988
515	8498	7971
516	8515	7955
517	8533	7940
518	8550	7924
519	8569	7910
520	8585	7893
521	8602	7877
522	8615	7857
523	8631	7841
524	8647	7824
525	8660	7804
526	8673	7784
527	8689	7767
528	8706	7751
529	8719	7732
530	8734	7714
531	8749	7697
532	8765	7679
533	8782	7664
534	8797	7645
535	8812	7628
536	8825	7609
537	8840	7591
538	8855	7574
539	8875	7560
540	8889	7541
541	8905	7525
542	8920	7507
543	8936	7491
544	8951	7473
545	8967	7456
546	8982	7438
547	9001	7424
548	9017	7407
549	9030	7388
550	9046	7371
551	9061	7354
552	9077	7337
553	9093	7320
554	9107	7302
555	9122	7284
556	9135	7265
557	9150	7247
558	9165	7230
559	9180	7213
560	9196	7196
561	9215	7182
562	9231	7165
563	9247	7148
564	9264	7132
565	9281	7116
566	9296	7099
567	9311	7081
568	9327	7065
569	9343	7048
570	9358	7031
571	9377	7016
572	9393	6999
573	9410	6984
574	9430	6970
575	9448	6954
576	9462	6937
577	9477	6919
578	9493	6903
579	9512	6888
580	9529	6872
581	9543	6854
582	9557	6835
583	9569	6816
584	9582	6797
585	9595	6778
586	9610	6761
587	9626	6744
588	9643	6728
589	9659	6712
590	9673	6694
591	9687	6676
592	9703	6659
593	9718	6642
594	9731	6623
595	9744	6605
596	9759	6588
597	9774	6570
598	9791	6554
599	9805	6536
600	9820	6519
601	9836	6503
602	9853	6487
603	9869	6470
604	9892	6458
605	9911	6444
606	9926	6426
607	9939	6408
608	9953	6390
609	9969	6374
610	9983	6356
611	9999	6339
612	10014	6322
613	10029	6305
614	10043	6287
615	10061	6272
616	10076	6255
617	10092	6238
618	10108	6221
619	10122	6204
620	10137	6187
621	10153	6170
622	10169	6153
623	10184	6137
624	10200	6120
625	10216	6103
626	10231	6086
627	10246	6069
628	10263	6053
629	10279	6037
630	10296	6020
631	10313	6005
632	10328	5988
633	10342	5970
634	10357	5953
635	10372	5936
636	10393	5922
637	10406	5904
638	10422	5887
639	10438	5871
640	10453	5854
641	10470	5838
642	10487	5823
643	10503	5806
